1	13544445555	192.168.111.1	www.baidu.com	24815	999	200
2	13544445555	192.168.111.1	www.baidu.com	234	999	200
3	13544445555	192.168.111.1	www.baidu.com	234	999	200
4	13544445556	192.168.111.4	www.baidu.com	145	333	404
5	13544445557	192.168.111.4	www.baidu.com	146	334	200
6	13544445558	192.168.111.1	www.baidu.com	147	335	404
7	13544445559	192.168.111.1	www.baidu.com	148	336	200
8	13544445560	192.168.111.2	www.baidu.com	149	337	404
9	13544445561	192.168.111.3	www.baidu.com	150	338	200
10	13544445562	192.168.111.4	www.baidu.com	151	339	200
11	13544445563	192.168.111.5	www.baidu.com	152	340	200
12	13544445564	192.168.111.1	www.baidu.com	153	341	404
13	13544445565	192.168.111.4	www.baidu.com	154	342	200
14	13544445566	192.168.111.6	www.baidu.com	155	343	404
15	13544445567	192.168.111.7	www.baidu.com	156	344	200
16	13544445568	192.168.111.1	www.baidu.com	157	345	404
17	13544445569	192.168.111.2	www.baidu.com	158	346	200
18	13544445570	192.168.111.3	www.baidu.com	159	347	200
19	13544445571	192.168.111.1	www.baidu.com	160	348	404
20	13544445572	192.168.111.7	www.baidu.com	161	349	200
